epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.204,0,433.231,0,0,0,0,0,0,463.797,0,0.00044,0.00044,0.00044
2,729.168,0,318.161,0,0,0,0,0,0,326.304,0,0.00089406,0.00089406,0.00089406
3,1085.61,0,269.761,0,0,0,0,0,0,238.278,0,0.00134205,0.00134205,0.00134205
4,1445.86,0,228.195,0,0,0,0,0,0,1216.84,0,0.00178396,0.00178396,0.00178396
5,1800.68,0,195.121,0,0,0,0,0,0,0.0349,0,0.0019472,0.0019472,0.0019472
6,2153.67,0,161.704,0,0,0,0,0,0,81.8882,0,0.001934,0.001934,0.001934
7,2507.23,0,131.335,0,0,0,0,0,0,123.207,0,0.0019208,0.0019208,0.0019208
8,2860.12,0,108.766,0,0,0,0,0,0,118.839,0,0.0019076,0.0019076,0.0019076
9,3213.5,0,85.3058,0,0,0,0,0,0,75.8251,0,0.0018944,0.0018944,0.0018944
10,3567.94,0,65.7849,0,0,0,0,0,0,62.1193,0,0.0018812,0.0018812,0.0018812
11,3922.47,0,49.802,0,0,0,0,0,0,50.2652,0,0.001868,0.001868,0.001868
12,4277.97,0,37.563,0,0,0,0,0,0,41.2488,0,0.0018548,0.0018548,0.0018548
13,4632.29,0,27.8208,0,0,0,0,0,0,27.7707,0,0.0018416,0.0018416,0.0018416
