epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.55,0,432.57,0,0,0,0,0,0,467.339,0,0.00044,0.00044,0.00044
2,675.984,0,329.684,0,0,0,0,0,0,225.186,0,0.00089406,0.00089406,0.00089406
3,1006.8,0,277.256,0,0,0,0,0,0,234.365,0,0.00134205,0.00134205,0.00134205
4,1371.02,0,233.585,0,0,0,0,0,0,530.72,0,0.00178396,0.00178396,0.00178396
5,1703.14,0,197.181,0,0,0,0,0,0,147.917,0,0.0019472,0.0019472,0.0019472
6,2030.54,0,166.602,0,0,0,0,0,0,95.0462,0,0.001934,0.001934,0.001934
7,2358.91,0,133.363,0,0,0,0,0,0,138.792,0,0.0019208,0.0019208,0.0019208
8,2687.62,0,107.927,0,0,0,0,0,0,115.201,0,0.0019076,0.0019076,0.0019076
9,3015.8,0,83.586,0,0,0,0,0,0,79.5476,0,0.0018944,0.0018944,0.0018944
10,3345.31,0,64.0021,0,0,0,0,0,0,63.0762,0,0.0018812,0.0018812,0.0018812
11,3675.59,0,48.3073,0,0,0,0,0,0,34.1777,0,0.001868,0.001868,0.001868
12,4006.17,0,36.6758,0,0,0,0,0,0,27.2984,0,0.0018548,0.0018548,0.0018548
13,4336.94,0,27.2159,0,0,0,0,0,0,756.251,0,0.0018416,0.0018416,0.0018416
