epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.994,0,434.622,0,0,0,0,0,0,493.675,0,0.00044,0.00044,0.00044
2,727.961,0,316.974,0,0,0,0,0,0,193.085,0,0.00089406,0.00089406,0.00089406
3,1080.96,0,268.957,0,0,0,0,0,0,237.643,0,0.00134205,0.00134205,0.00134205
4,1433.56,0,229.325,0,0,0,0,0,0,183.525,0,0.00178396,0.00178396,0.00178396
5,1787.54,0,200.476,0,0,0,0,0,0,158.537,0,0.0019472,0.0019472,0.0019472
6,2141.79,0,165.089,0,0,0,0,0,0,7545.84,0,0.001934,0.001934,0.001934
7,2495,0,142.152,0,0,0,0,0,0,115.681,0,0.0019208,0.0019208,0.0019208
8,2848.54,0,113.476,0,0,0,0,0,0,14.7896,0,0.0019076,0.0019076,0.0019076
9,3201.38,0,90.1851,0,0,0,0,0,0,90.5935,0,0.0018944,0.0018944,0.0018944
10,3555.77,0,71.563,0,0,0,0,0,0,33882.8,0,0.0018812,0.0018812,0.0018812
11,3910.16,0,55.1957,0,0,0,0,0,0,686.726,0,0.001868,0.001868,0.001868
12,4264.48,0,42.2378,0,0,0,0,0,0,119432,0,0.0018548,0.0018548,0.0018548
13,4617.31,0,32.3831,0,0,0,0,0,0,12.3509,0,0.0018416,0.0018416,0.0018416
14,4969.93,0,24.2916,0,0,0,0,0,0,20.7313,0,0.0018284,0.0018284,0.0018284
15,5323.03,0,18.0073,0,0,0,0,0,0,18.7172,0,0.0018152,0.0018152,0.0018152
16,5677.07,0,12.9,0,0,0,0,0,0,12.7318,0,0.001802,0.001802,0.001802
